country,year,infant_mortality_rate,under_five_mortality_rate,child_mortality_rate_aged_1_4_years,neonatal_mortality_rate,mortality_rate_age_10_19,mortality_rate_age_15_24,itn_use_by_children_percentage_of_children_under_age_5_who_slept_under_an_insecticide_treated_mosquito_net_the_night_prior_to_the_survey,percentage_of_households_with_at_least_one_insecticide_treated_mosquito_net_itn,malaria_first_line_treatment_percentage_of_febrile_children_under_age_5_receiving_act_first_line_antimalarial_drug_among_those_receiving_any_antimalarial_drugs,malaria_diagnostics_percentage_of_febrile_children_under_age_5_who_had_a_finger_or_heel_stick_for_malaria_testing,household_with_insecticide_treated_net_itn_and_or_indoor_residual_spraying_irs_percentage_of_households_with_at_least_one_itn_for_every_two_persons_and_or_irs_in_the_past_12_months,careseeking_for_febrile_children_percentage_of_children_under_age_5_with_fever_for_whom_advice_or_treatment_was_sought_from_a_health_facility_or_provider
Algeria,2016,21.2803955105189,24.7920977884414,3.58805756195557,15.0660103123553,4.38997500213634,6.11383874383296,NA,NA,NA,NA,NA,NA
Algeria,2017,20.8725214412831,24.3194820143572,3.52044105446647,15.5403408762029,4.36714271804095,6.04611379817295,NA,NA,NA,NA,NA,NA
Algeria,2018,20.4293154021666,23.8059260394742,3.44703112332795,16.0350425492635,4.36287501796273,5.98317021452035,NA,NA,NA,NA,NA,NA
Algeria,2019,19.9548665714491,23.2561681158753,3.368519909769,16.2835142491268,4.36841798664578,5.93248474708172,NA,NA,NA,NA,NA,NA
Angola,2016,55.5622271857658,84.2118942703851,30.3351559089762,29.7772596281494,20.5415205699455,34.5310628145876,21.7,30.9,76.7,34.3,12.5,50.8
Angola,2017,53.5351751311656,80.6223021438621,28.6192643791733,29.0026886295623,19.9332867328851,33.5859166095727,NA,NA,NA,NA,NA,NA
Angola,2018,51.8714403760195,77.6723204407934,27.2124279030998,28.2521110232712,19.4265355799096,32.797693915733,NA,NA,NA,NA,NA,NA
Angola,2019,50.1801546190397,74.6867100621452,25.8012670118261,27.5734809114792,18.9070131060726,31.9888075392642,NA,NA,NA,NA,NA,NA
Argentina,2016,9.70052349552567,10.8943761153671,1.20554705739662,6.38428417664719,4.84038581334489,8.57320635051598,NA,NA,NA,NA,NA,NA
Argentina,2017,9.19189165234668,10.3271951496893,1.14583589675699,6.22770276160654,4.69845552127335,8.42161797914078,NA,NA,NA,NA,NA,NA
Argentina,2018,8.69903815928986,9.77702321452119,1.08744477885964,6.16011863125214,4.56764344607652,8.33099690110551,NA,NA,NA,NA,NA,NA
Argentina,2019,8.23805277641469,9.26187684461466,1.03232844440765,6.08219228376127,4.44221147878676,8.2521847776569,NA,NA,NA,NA,NA,NA
Benin,2016,63.0392877158802,97.4163946026096,36.6900195878284,31.9011678905911,18.637391718063,22.3226500534557,NA,NA,NA,NA,NA,NA
Benin,2017,61.754007188229,95.1330786836553,35.5760341650496,31.4620982381862,18.6657939020062,22.4730349314497,NA,NA,NA,NA,NA,NA
Benin,2018,60.4147167975776,92.7735211125249,34.4394541876927,31.0357379672724,18.5471232270822,22.4434742480948,69.8,84.7,37,17.7,55.4,53.1
Benin,2019,59.001273580197,90.2864291385504,33.2467565366392,30.5589141110839,18.2532922194315,22.2100661874398,NA,NA,NA,NA,NA,NA
Burkina Faso,2016,58.0118829411153,97.0347677800122,41.4260903609202,27.4677703997892,13.4762556221618,16.9401445061155,NA,NA,NA,NA,NA,NA
Burkina Faso,2017,56.6617793652401,93.8629094490476,39.4356226330082,26.9643111177135,13.1217449423777,16.6396000958163,NA,NA,NA,NA,NA,NA
Burkina Faso,2018,55.2966894151256,90.6821379757548,37.4566789206161,26.4883648829487,12.7529714076519,16.2877133548495,54.4,75.3,79.4,48.8,32.8,73.5
Burkina Faso,2019,53.9372429075304,87.54242626636,35.5210931905997,25.9441668824497,12.3618525676391,15.9846770356706,NA,NA,NA,NA,NA,NA
Cabo Verde,2016,15.5291278708919,18.1059942434727,2.61751408349253,10.9194865154909,3.7114934296083,6.48627728715178,NA,NA,NA,NA,NA,NA
Cabo Verde,2017,14.4722986121724,16.8357100235178,2.39811768661613,10.1612949416508,3.57328461287465,6.34050424124189,NA,NA,NA,NA,NA,NA
Cabo Verde,2018,13.5612714614511,15.7656419988695,2.23467557958312,9.52050872914955,3.45863628214316,6.21929355428432,NA,NA,NA,NA,NA,NA
Cabo Verde,2019,12.7897753842176,14.8615274555791,2.09859259935846,8.98235060315008,3.35678447945587,6.12629507385926,NA,NA,NA,NA,NA,NA
Cameroon,2016,55.4227662546016,84.5218668078551,30.8064809528706,27.9932280264423,21.2341386587598,30.4724691361383,NA,NA,NA,NA,NA,NA
